covidence#;author;year;country;location;latitude;longitude;climate;expe_t;mat (°C);map;map_units;soil;type;ph;oc;oc_units;om;om_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec;cec_units;N;N_units;N_type;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density (ind./m2 or pots);ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S4;;7.91;;;;;;;;;;136;?S cm;;;;;;;;;;122.7;;3659.1;9316.1;;;;;;;mg kg;1;Total;;Horned dock;Rumex bucephalophorus;;;;;;;;;0;;38.4;250;;;;;;;mg kg;1;Shoot ;;0;;26.9;173.4;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S5;;8.17;;;;;;;;;;114;?S cm;;;;;;;;;;444;;4466;10101.4;;;;;;;mg kg;1;Total;;White mignonette;Reseda alba ;;;;;;;;;41.2;;159.6;506.8;;;;;;;mg kg;1;Shoot ;;18.5;;140;321.3;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S7;;8.28;;;;;;;;;;158;?S cm;;;;;;;;;;427.3;;2880.4;9220.9;;;;;;;mg kg;1;Total;;Pink catchfly;Silène colorata ;;;;;;;;;20.5;;91.1;490.6;;;;;;;mg kg;1;Shoot ;;50.2;;184.1;793.7;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S10;;6.61;;;;;;;;;;131;?S cm;;;;;;;;;;125.4;;1707.2;3984.1;;;;;;;mg kg;1;Total;;Rosy garlic;Allium roseum ;;;;;;;;;19.7;;45;323.4;;;;;;;mg kg;1;Shoot ;;38.4;;117.5;542.7;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S11;;6.92;;;;;;;;;;141;?S cm;;;;;;;;;;100.4;;1133.3;2678.2;;;;;;;mg kg;1;Total;;Common thyme;Thymus vulgaris;;;;;;;;;45.8;;190.6;492.4;;;;;;;mg kg;1;Shoot ;;30.9;;51.7;143;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S13;;6.84;;;;;;;;;;240;?S cm;;;;;;;;;;429.6;;2718.2;4029.3;;;;;;;mg kg;1;Total;;Pygmy evax;Evax pygma ;;;;;;;;;9;;8.4;107.3;;;;;;;mg kg;1;Shoot ;;5.6;;20.4;147.9;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S14;;6.87;;;;;;;;;;190;?S cm;;;;;;;;;;249.2;;2146.7;7268.4;;;;;;;mg kg;1;Total;;Common thyme;Thymus vulgaris;;;;;;;;;17.4;;90.7;149.5;;;;;;;mg kg;1;Shoot ;;22.4;;294.1;153.5;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S14;;6.87;;;;;;;;;;190;?S cm;;;;;;;;;;249.2;;2146.7;7268.4;;;;;;;mg kg;1;Total;;Smooth brome grass;Bromus inermis ;;;;;;;;;2.7;;4.4;30.1;;;;;;;mg kg;1;Shoot ;;30.5;;126.3;703.3;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S15;;6.98;;;;;;;;;;131;?S cm;;;;;;;;;;93.5;;1183.5;2859.6;;;;;;;mg kg;1;Total;;Biscutella;Biscutella didyma ;;;;;;;;;29.2;;139.9;153.7;;;;;;;mg kg;1;Shoot ;;14.3;;256.9;86.6;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5460;Davies;2016;United Kingdom;Conwy Valley;;;Temperate maritime;;;;;South;Parc mine;6.95;;;;;;;;;;;;;;;;;;;;74;;;23938;18633;;;;;;;mg kg;10;Total;;Grey alder;Alnus incana;;;;;;;;1;;;16;248;;;;;;;mg kg;1;Leaf;1;;;2700;2800;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
