user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Urophyllum cf. marcophyllum	Urophyllum cf. marcophyllum	Urophyllum macrophyllum	0.75	TRUE	Urophyllum macrophyllum	FALSE
Urophyllum cf. marcophyllum	Urophyllum cf. marcophyllum	Urophyllum microphyllum	0.75	TRUE	Urophyllum macrophyllum	FALSE
Lippia aff. geminata	Lippia aff. geminata	Lippia geminata	0.75	TRUE	Lippia geminata	FALSE
Polystichum disjurctam	Polystichum disjurctam	Polystichum disjunctum	0.75	TRUE	Polystichum disjunctum	FALSE
Adiantun capillus-veneris	Adiantun capillus-veneris	Adiantum capillus-veneris	0.75	TRUE	Adiantum capillus-veneris	FALSE
Adiantun capillus-veneris	Adiantun capillus-veneris	Adiantum capillaris-veneris	0.75	TRUE	Adiantum capillus-veneris	FALSE
Artemisia lancangensis	Artemisia lancangensis	Artemisia lancangensis	0.75	TRUE	Artemisia lancangensis	FALSE
Equisetum ramosissimum	NA	Equisetum ramosissimum	0.75	TRUE	Equisetum ramosissimum	FALSE
Pteridium aquilinum	NA	Pteridium aquilinum 		TRUE	Pteridium aquilinum	FALSE
Athyrium filix-femina	NA	Athyrium filix-femina 		TRUE	Athyrium filix-femina	FALSE
Centaurea nigra	NA	Centaurea nigra 		TRUE	Centaurea nigra	FALSE
Hypericum perforatum	NA	Hypericum perforatum 		TRUE	Hypericum perforatum	FALSE
Digitalis thapsi	NA	Digitalis thapsi 		TRUE	Digitalis thapsi	FALSE
Aira caryophyllea	NA	Aira caryophyllea 		TRUE	Aira caryophyllea	FALSE
Glyceria fluitans	NA	Glyceria fluitans 		TRUE	Glyceria fluitans	FALSE
Diplotaxis erucoides	NA	Diplotaxis erucoides 		TRUE	Diplotaxis erucoides	FALSE
Daucus carota	NA	Daucus carota 		TRUE	Daucus carota	FALSE
Silene latifolia	NA	Silene latifolia 		TRUE	Silene latifolia	FALSE
Cytisus scoparius	NA	Cytisus scoparius 		TRUE	Cytisus scoparius	FALSE
Cytisus oromediterraneus	NA	Cytisus oromediterraneus 		TRUE	Cytisus oromediterraneus	FALSE
Genista cinerascens	NA	Genista cinerascens 		TRUE	Genista cinerascens	FALSE
Adenocarpus complicatus	NA	Adenocarpus complicatus 		TRUE	Adenocarpus complicatus	FALSE
Thymus mastichina	NA	Thymus mastichina 		TRUE	Thymus mastichina	FALSE
Santolina rosmarinifolia	NA	Santolina rosmarinifolia 		TRUE	Santolina rosmarinifolia	FALSE
Frangula alnus	NA	Frangula alnus 		TRUE	Frangula alnus	FALSE
Betula pendula	NA	Betula pendula 		TRUE	Betula pendula	FALSE
Erica arborea	NA	Erica arborea 		TRUE	Erica arborea	FALSE
Salix atrocinerea	NA	Salix atrocinerea 		TRUE	Salix atrocinerea	FALSE
Convolvus arvensis	NA	Convolvulus arvensis 		TRUE	Convolvulus arvensis	FALSE
Dichantum annulatum	NA	Dichanthium annulatum 		TRUE	Dichanthium annulatum	FALSE
Arva javanica	NA	Aerva javanica 		TRUE	Aerva javanica	FALSE
Onopordon acanthium	NA	Onopordum acanthium 		TRUE	Onopordum acanthium	FALSE
H. suaeulance	NA	NA		TRUE	H. suaeulance	FALSE
Setairaviridis	NA	Setaria viridis 		TRUE	Setaria viridis	FALSE
Anemone Vitifolia	NA	Eriocapitella vitifolia 		TRUE	Eriocapitella vitifolia	FALSE
Llex plyneura	NA	Ilex polyneura 		TRUE	Ilex polyneura	FALSE
Trifdium repensl	NA	Trifolium repens 		TRUE	Trifolium repens	FALSE
