user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Anchusa arvensis subsp. arvensis	Anchusa arvensis subsp. arvensis	Anchusa arvensis subsp. arvensis	0.999			
Lonicera periclymenum subsp. periclymenum	Lonicera periclymenum subsp. periclymenum	Lonicera periclymenum subsp. periclymenum	0.999			
Asplenium adiantum-nigrum var. corunnense	Asplenium adiantum-nigrum var. corunnense	Asplenium adiantum-nigrum subsp. corunnense	0.999			
Asplenium adiantum-nigrum var. corunnense	Asplenium adiantum-nigrum var. corunnense	Asplenium adiantum-nigrum var. corunnense	0.999			
Solanum Linnaeanum	Solanum linnaeanum	Solanum linnaeanum	0.988			
Pavonia burchellii	Pavonia burchellii	Pavonia burchellii	0.988			
Euphorbia inaequilatera	Euphorbia inaequilatera	Euphorbia inaequilatera	0.988			
Alternenthera pungens	Alternenthera pungens	Alternanthera pungens	0.75			
Baccharis marginalis	Baccharis marginalis	Baccharis marginalis	0.988			
Baccharis pingraea fma. angustissima	Baccharis pingraea fma. angustissima	Baccharis	0.75			
Haplopappus cerberoanus	Haplopappus cerberoanus	Haplopappus cerberoanus	0.988			
Haplopappus macraeanus	Haplopappus macraeanus	Haplopappus macraeanus	0.988			
Nolana albescens	Nolana albescens	Nolana albescens	0.988			
Schinus polygama	Schinus polygama	Schinus polygama	0.988			
Scirpus asper	Scirpus asper	Scirpus asper	0.988			
Senecio bridgesii	Senecio bridgesii	Senecio bridgesii	0.988			
Solanum pinnatum	Solanum pinnatum	Solanum pinnatum	0.988			
Tessaria absinthioides	Tessaria absinthioides	Tessaria absinthioides	0.988			
Ophryosporus paradoxus	Ophryosporus paradoxus	Ophryosporus paradoxus	0.988			
Inula viscosa	Inula viscosa	Inula viscosa	0.988			
Poligonum aviculare	Poligonum aviculare	Polygonum aviculare	0.75			
Piptatherum milliaceum	Piptatherum milliaceum	Piptatherum miliaceum	0.75			
Conyza bonariensis	Conyza bonariensis	Conyza bonariensis	0.988			
Helichrysum litoreum	Helichrysum litoreum	Helichrysum litoreum	0.988			
Brassica rapa subsp. sylvestris	Brassica rapa subsp. sylvestris	Brassica rapa subsp. sylvestris	0.999			
Brassica rapa subsp. sylvestris	Brassica rapa subsp. sylvestris	Brassica rapa var. sylvestris	0.999			
Eucalyptus camadulensis	Eucalyptus camadulensis	Eucalyptus camaldulensis	0.75			
Citrus x limon	Citrus x limon	Citrus limon	0.988			
vitis vinifera	Vitis vinifera	Vitis vinifera	0.988			
Tamarix tetragyna	Tamarix tetragyna	Tamarix tetragyna	0.988			
Pinus bruttia	Pinus bruttia	Pinus bruttia	0.988			
Acacia cyanophylla	Acacia cyanophylla	Acacia cyanophylla	0.988			
Baccharis mexicana	Baccharis mexicana	Baccharis mexicana	0.988			
Calea	Calea	Calea	0.75			
Critoniopsis uniflora	Critoniopsis uniflora	Critoniopsis uniflora	0.988			
Verbesina	Verbesina	Verbesina	0.75			
